n_start,val_max_H1,val_sum_H1,val_num_H1,nu2_max_H1,nu2_sum_H1,nu2_num_H1,UMAP1,UMAP2,steps_to_1,max_value,nu2_0_mean,delta_nu2_total_mean
80,0.0,0.0,0,0.0,0.0,0,-12.809747,3.7025464,9,80,4.0,-4.0
81,0.0,0.0,0,0.0,0.0,0,-8.648231,3.1657267,22,244,0.0,0.0
82,0.0,0.0,0,0.0,0.0,0,-6.7156615,0.39504185,110,9232,1.0,-1.0
83,0.0,0.0,0,0.0,0.0,0,-6.6874056,0.39665145,110,9232,0.0,0.0
84,0.0,0.0,0,0.0,0.0,0,-12.476882,3.9883318,9,84,2.0,-2.0
85,0.0,0.0,0,0.0,0.0,0,-12.708193,4.1714773,9,256,0.0,0.0
86,0.0,0.0,0,0.0,0.0,0,-9.393297,0.61302006,30,196,1.0,-1.0
87,0.0,0.0,0,0.0,0.0,0,-9.53967,0.77366483,30,592,0.0,0.0
88,0.0,0.0,0,0.0,0.0,0,-9.020373,4.3514266,17,88,3.0,-3.0
89,0.0,0.0,0,0.0,0.0,0,-8.692415,0.66617256,30,304,0.0,0.0
90,1.2190704345703125,1.454669952392578,0,0.0,0.0,0,-8.926683,4.4126415,17,136,1.0,-1.0
91,0.0,0.0,0,0.0,0.0,0,-6.2672944,0.5504003,92,9232,0.0,0.0
92,0.0,0.0,0,0.0,0.0,0,-8.50351,4.6065836,17,160,2.0,-2.0
93,0.0,0.0,0,0.0,0.0,0,-8.261462,4.434024,17,280,0.0,0.0
94,0.0,0.0,0,0.0,0.0,0,-6.32775,0.11849523,105,9232,1.0,-1.0
95,0.0,0.0,0,0.0,0.0,0,-6.6964173,-0.07595315,105,9232,0.0,0.0
96,0.0,0.0,0,0.0,0.0,0,-13.974673,3.9506907,12,96,5.0,-5.0
97,0.0,0.0,0,0.0,0.0,0,-7.479906,0.2505633,118,9232,0.0,0.0
98,0.0,0.0,0,0.0,0.0,0,-9.522106,2.733094,25,148,1.0,-1.0
99,0.0,0.0,0,0.0,0.0,0,-9.961336,2.7048748,25,448,0.0,0.0
100,0.0,0.0,0,0.0,0.0,0,-9.205225,2.2700574,25,100,2.0,-2.0
